,ord,information
505,artes,6.034754399062689
489,arnes,6.007183030062699
328,alnes,5.917858384770899
335,alser,5.9020611204023785
337,alset,5.873754873013291
501,arsen,5.839666297519248
54,adles,5.8339417884039495
479,arkes,5.8319722500830675
469,arges,5.82891932709937
441,anser,5.809315927608107
474,aries,5.7874077626128635
267,agres,5.7842874814509715
637,bares,5.783181000027935
433,anret,5.7704055484159245
443,anset,5.759887600235195
342,alter,5.73692669460245
308,alges,5.729420231358061
318,alkes,5.726238074393105
530,asner,5.70897411623825
511,arves,5.691845317662533
345,altre,5.683273838021512
259,agles,5.6727214374319015
602,bales,5.670682470498254
503,arten,5.667776414641691
484,armes,5.665264321637295
532,asnet,5.663912189388404
281,akser,5.661741091820175
467,arens,5.649416643453258
53,adler,5.641861615758533
297,alder,5.634878579617165
331,aloes,5.634439896011049
562,avles,5.624428525708275
393,anges,5.619148440721233
493,arpes,5.6117701128636455
412,ankes,5.61125653643831
470,arget,5.599516488623667
480,arket,5.590632162947931
55,adlet,5.589318548462726
270,agtes,5.58914368734812
653,baser,5.5861142080516615
283,akset,5.586055674538402
263,agnes,5.578882471040613
386,aners,5.575692837588112
298,aldre,5.573408601086301
622,banes,5.568402246143561
325,almes,5.562980916810866
338,alstr,5.55856299061283
341,alten,5.557781747702768
647,barse,5.556024897801324
300,alens,5.546986480090995
638,baret,5.541943282787071
536,asten,5.534351306201702
307,alger,5.531254487774965
566,avnes,5.526392456353001
317,alker,5.522852826469482
897,biles,5.518750051406364
527,asker,5.518491404141564
286,akter,5.50586133181911
274,airen,5.50535071713637
284,aksle,5.503219870138143
279,aksel,5.500602982863541
367,amnes,5.488181493055779
382,andre,5.482994068687865
522,asier,5.482098969518023
258,agler,5.477368901980173
573,bades,5.472636453190278
301,alert,5.469759248657675
280,aksen,5.467296909073396
319,alket,5.466743909459906
601,baler,5.4640304555373325
477,arken,5.456156837640048
512,arvet,5.455113486211176
392,anger,5.44403054582253
330,aloer,5.443106948864524
529,asket,5.442785370109416
418,anled,5.44261106106751
498,arres,5.439705901095211
660,baste,5.433109929422754
269,agter,5.431542373186085
485,armet,5.430960026203146
260,aglet,5.43045069353035
411,anker,5.430106622879318
48,adels,5.422128099880933
561,avler,5.417353205962586
134,afles,5.41732714126376
472,arien,5.416175529011795
524,asiet,5.414793817530785
603,balet,5.413697138809134
650,barts,5.4124786721697795
262,agner,5.410042278608149
635,baren,5.401525174679843
652,basen,5.3928095541753445
621,baner,5.388566807096132
914,biret,5.385706384297801
398,angre,5.382107323644382
394,anget,5.375028471883391
992,blues,5.374985774984023
494,arpet,5.373667976662511
563,avlet,5.370933193605827
380,andel,5.370297480091766
580,bages,5.3686830839079205
415,ankre,5.368177437118273
413,anket,5.355451291927203
565,avner,5.348419662834109
264,agnet,5.344974740719413
306,algen,5.344895746774776
634,barde,5.344533142853541
255,agers,5.344016995022717
316,alken,5.338833792465251
373,amter,5.337966542482873
202,afser,5.333886312486061
277,ajles,5.328367381322942
462,apter,5.325085222258504
526,asken,5.324211083298221
643,barns,5.323660457949354
869,bides,5.323247221894583
966,blase,5.323189571969171
623,banet,5.32210023024137
509,arven,5.315013422834308
572,bader,5.313484063999756
366,amner,5.311204914621081
896,biler,5.306380228116128
285,akten,5.299918310196032
333,alper,5.29932313837742
181,afret,5.2985529430987075
534,asper,5.2978001121180345
491,arons,5.295406337330366
796,beros,5.29327283660157
521,asien,5.2882597758941685
556,avers,5.287463906791228
397,angle,5.285698980524945
482,armen,5.283945308156983
567,avnet,5.283833651432964
502,arses,5.283318779965587
23,aares,5.276293556108512
204,afset,5.271239636638694
390,angel,5.2672808623543945
799,berus,5.26596388878677
974,blens,5.261490735214131
360,amers,5.260656300896327
898,bilet,5.257876632328406
409,ankel,5.256003386497746
329,aloen,5.252403784999986
321,alles,5.250379133723987
368,amnet,5.249072508641986
639,barke,5.242901546608745
673,beans,5.241215401834932
575,badse,5.239198183905492
557,avets,5.232276821733494
560,avlen,5.229266564782707
492,arpen,5.227474890421068
348,alune,5.225585235628714
268,agten,5.221837463580654
574,badet,5.218805380130744
133,afler,5.217879360851037
599,balde,5.216169001822227
499,arret,5.213978916039919
931,bitre,5.213592840025769
42,abers,5.208152774014501
554,avels,5.207197884471038
656,baske,5.207148576955338
579,bager,5.204219417063248
809,besat,5.194946535085703
877,biers,5.193090481111104
305,alfer,5.191875260155848
336,alses,5.177450889758768
981,blire,5.1741464697643424
135,aflet,5.173854406454877
201,afsel,5.173542798309898
224,after,5.171754719655487
324,almen,5.166566272049599
640,barks,5.164847642134045
14,aales,5.164762499906372
688,bedst,5.163423796452869
967,blats,5.1604002681335865
326,almne,5.156809343093565
868,bider,5.156778657773544
349,aluns,5.155184225825918
555,avens,5.1523050526631575
750,beles,5.138325734148578
997,bluse,5.136600060035516
39,abels,5.128009882710279
824,besor,5.127726208277726
598,bakse,5.127192431943995
895,bilen,5.121550607741515
616,bande,5.1211003611290264
359,amens,5.120345127642427
276,ajler,5.120278050207951
607,balke,5.113216401170241
819,beskt,5.112670957905097
332,alpen,5.108876649355072
610,baltr,5.107394999280345
355,ambes,5.104305278295304
954,blade,5.103990911880242
401,angst,5.101307758232939
649,barsl,5.101246315557902
533,aspen,5.100360892276423
797,berta,5.095233867305436
471,argus,5.094351029398653
811,beser,5.091828514619356
871,bidse,5.0908667767296505
926,bistr,5.089206411042276
915,birke,5.085440755330761
28,aaser,5.084446239688583
604,balge,5.082454473841033
278,ajlet,5.078006775441788
180,afred,5.073726639965035
496,arren,5.070729828608804
972,blegs,5.069196759341659
287,aktie,5.068672235671461
40,abens,5.067767367926664
442,anses,5.067729055369661
892,bilde,5.06633788048945
870,bidet,5.065908017974192
790,beret,5.061621444955807
989,blote,5.058134970523
930,biten,5.05505167787622
875,biens,5.053435058277222
587,bagte,5.0533476773100965
617,bands,5.052806633253669
845,betes,5.05124683372856
320,aller,5.0451177666185805
641,barme,5.0434429351769205
24,aaret,5.041030955430272
608,balks,5.040829630945892
291,akute,5.037494751610241
778,benes,5.034766278205159
254,agern,5.026635219571789
628,banke,5.019067790758673
30,aaset,5.018678808411336
525,asjet,5.0185368335083815
956,blads,5.018140026836521
813,beset,5.016312817964655
252,agent,5.013243891864012
740,bekas,5.010123098997164
546,atter,5.003509783070305
817,beskn,5.0030861108800115
304,alfen,5.002766352707651
322,allet,5.002199289751129
749,beler,5.001035631978055
916,birks,4.997279674014738
605,balgs,4.995825191286386
578,bagen,4.991421140487878
518,aseri,4.989889735328122
670,bavse,4.988361168978621
894,bilds,4.9850585854477805
624,bange,4.984592113207529
975,blide,4.9837419133100616
757,belur,4.981109589253681
531,asnes,4.9789978541682975
376,anbed,4.976716197259384
990,blots,4.973479350710429
889,bikse,4.973253307682796
292,akuts,4.97056817770919
612,bamre,4.968702546813345
908,binde,4.9667588573573695
600,baldr,4.9647316883459895
504,arter,4.964635137375499
613,bamse,4.962742191450537
227,aftne,4.962506139200567
223,aften,4.957802386276866
844,beter,4.953693830625455
764,belæs,4.951728284162454
630,banks,4.951043892093823
642,barms,4.9503677665718735
867,biden,4.9480382073818
506,artet,4.946895039953035
132,afled,4.943962172731918
684,bedes,4.943578204914354
488,arner,4.9433490057594405
476,arisk,4.941218499833636
354,amber,4.940490641522509
751,belet,4.940078842091492
275,ajlen,4.93355416562559
551,autos,4.932088867473218
648,barsk,4.919933612157143
777,bener,4.918816422766041
808,besad,4.9159557099382045
960,blaks,4.912083153557522
810,besen,4.902944262127859
508,arums,4.897701233544128
21,aaren,4.897094782638988
463,araen,4.892998278485592
882,bigte,4.892536286485037
909,binds,4.88945865971608
27,aasen,4.889222048769994
666,bavle,4.884548033236214
282,akses,4.8842608834947905
658,basse,4.883625137732684
982,blist,4.882169038521674
327,almue,4.879470048166707
888,bikle,4.878042774127495
295,albue,4.8780326811093175
80,afdel,4.877871832375187
375,amurs,4.877538932236484
475,arild,4.867285685691559
10,aages,4.866955825798879
841,betal,4.866814530789961
611,bamle,4.8649080532710505
973,blegt,4.864787129809242
789,bered,4.863501925349449
449,ansæt,4.851488787399669
920,bisat,4.851177581659715
487,arnen,4.850220496176372
7,aaers,4.850086866823071
683,beder,4.849593814682036
187,afris,4.847409230163124
541,atlet,4.846984271671477
758,belys,4.846158281758124
779,benet,4.844474021357635
539,athen,4.842820109639218
955,bladr,4.841836031979425
791,berid,4.841066180996281
668,bavne,4.839911562678607
47,adder,4.83895024000849
969,bleer,4.836396833065717
985,blods,4.834368757068183
709,beges,4.8331739436284264
988,blost,4.831621281053969
851,betro,4.831011684219306
646,barre,4.828904040201232
311,alhed,4.828277036320507
836,besæt,4.827718197313861
745,belad,4.8257624204197604
343,altet,4.825186941186206
883,bigts,4.823091961789506
911,binge,4.823041206828963
923,bispe,4.821200023245958
671,beadl,4.8210586414578955
654,bases,4.820288216379323
667,bavls,4.816463700938681
748,belen,4.814672166856008
289,aktor,4.813455638157723
798,berte,4.811927081572736
999,blyet,4.811160776789436
998,blust,4.81029155732052
906,bimre,4.810056053572793
672,beagt,4.808878330273682
814,besid,4.807887215258774
893,bildr,4.803873239501761
830,besyr,4.802899994972136
182,afrev,4.8018573325705365
545,atten,4.798999954909464
961,blame,4.7989982223275325
618,bandt,4.798043214031272
457,anvis,4.7940747678482545
385,anens,4.793390813768438
763,belær,4.791190050792812
8,aaets,4.788998270081951
842,betel,4.779973870231172
978,bliks,4.7782146953529345
514,asaen,4.7777094185264835
550,autor,4.777009487902252
13,aalen,4.772418477081064
669,bavns,4.770319715108699
528,askes,4.763898518052285
901,bilus,4.763409762662514
594,bajer,4.760442651089729
58,adræt,4.758126796771559
833,besår,4.757711503974459
179,afreb,4.755246993124503
857,bevis,4.75296236253155
61,aende,4.751319147019027
856,bevar,4.749570329703352
468,arger,4.74894430323034
299,alene,4.748510698838223
519,asers,4.7478781442545825
843,beten,4.7477699621618585
507,artig,4.747189282827896
685,bedet,4.745633449559987
478,arker,4.744039787332997
971,blegn,4.7389567710317175
850,beton,4.738274451077712
344,altid,4.738137795695264
708,beger,4.737601514027176
444,ansig,4.733105958661589
912,bings,4.7290271099424315
925,bisse,4.726722306966966
986,bloks,4.7266092116445115
523,asies,4.726106060783886
353,amben,4.725693351380335
746,belak,4.7256824306922995
822,besne,4.7227251598372755
645,baron,4.722383741934975
900,bilpe,4.722371771689797
372,ample,4.716668103986493
542,atoms,4.713483119177081
6,aaens,4.70985179785263
904,bimle,4.708322159172674
9,aager,4.705051550343959
371,ampel,4.704748792940406
434,anrig,4.70387678474111
60,advis,4.70259557939827
473,arier,4.702514304205808
143,aflos,4.700981655130203
792,berig,4.69841413736151
207,afsir,4.692719639150786
662,basun,4.691993890794834
420,anlod,4.689805576693556
983,blive,4.688382521463519
351,alvor,4.687162025879676
838,besøl,4.68664538601858
339,alsæd,4.686177129211099
713,begit,4.68203564222759
937,biven,4.681168005885105
873,bidsl,4.6777827372050815
636,barer,4.677520040546744
595,bajet,4.67699806329997
786,bepis,4.6699849427891325
815,besig,4.669283380986318
445,ansku,4.666064996756025
818,besko,4.666011967122595
787,beram,4.660378391159053
516,asede,4.6599267092818515
540,atlas,4.658785218032319
147,aflus,4.657351691178474
606,balje,4.650464981786842
447,anstå,4.646659275777268
710,beget,4.644597064392366
682,beden,4.644462276475899
840,betak,4.638675466736008
364,ammes,4.637472380651492
734,beivr,4.635145090308449
910,bindt,4.634984499613047
346,altså,4.631191267368122
977,blidt,4.6303948251888825
257,agios,4.627050116466297
820,besku,4.626062413496923
18,aande,4.6241999478960265
11,aaget,4.623203697772724
788,berap,4.622331022918277
52,adled,4.621246939634093
839,betag,4.620671370254544
231,aftos,4.618648774544511
759,belyt,4.617353207194458
774,benag,4.61381855553379
517,asens,4.611321884310721
716,begro,4.60914509563181
399,angro,4.607213330761635
827,bestå,4.606061402093115
941,biåer,4.605344003364116
384,anede,4.604818283006124
737,bejds,4.604779730223369
44,abort,4.603571604998188
829,besyn,4.602472257083318
510,arver,4.602032781154105
767,beløn,4.6004357439306105
848,betle,4.600010061421829
4,aaden,4.599649144140274
461,april,4.593677433519117
687,bedre,4.593566320434168
315,aling,4.593056123974048
248,aføse,4.59121263152725
15,aalge,4.586103552236024
419,anlig,4.58438023857632
446,anslå,4.584029680688949
290,aktør,4.583076866337231
609,balle,4.579595386373627
483,armer,4.577783288722126
369,amoks,4.575920236488386
377,anbor,4.575552426681944
697,befar,4.5752454292757445
984,blivs,4.573395314148342
801,beryl,4.571104629277809
753,belig,4.570291125605096
19,aands,4.570125016396885
664,batte,4.5684623696227
821,beslå,4.568376076465927
922,bison,4.5680715218669405
350,alvej,4.564137663512748
203,afses,4.562321854677952
626,banje,4.562003202334553
963,bland,4.558528676965293
253,agere,4.558430840920485
835,besæd,4.557585652541906
453,antik,4.554613167184265
435,anriv,4.550918731099048
921,bisol,4.548232996533836
593,bajen,4.547252190790872
535,aspes,4.544915173049651
747,belav,4.544388183919666
793,berim,4.5440397860358175
958,blafs,4.543579241022315
139,aflir,4.5434668845104715
942,biåre,4.543404515394227
770,bemur,4.5419187056360135
816,beske,4.541707980379154
381,anden,4.540360495827985
691,bedyr,4.540265829461503
41,aberi,4.539097335949072
440,ansat,4.53673553430904
403,angås,4.534364368996418
313,alhus,4.533453407095575
722,begør,4.531577982544633
782,benyt,4.531173173237061
720,begær,4.530642675709809
968,blavr,4.523931774911535
976,blidn,4.522708275186897
945,bjale,4.5143771715249725
962,blamr,4.510771262500256
681,bedag,4.50924094409987
309,algod,4.506295361339047
625,bangl,4.501368404042574
644,barok,4.500919635978976
454,antog,4.499335556409958
715,beglo,4.499277748127851
172,afpen,4.4972564483218
633,barbe,4.497220848673364
465,areal,4.497142688228909
825,besov,4.4961030107340525
719,begås,4.495536564726683
692,bedår,4.494563401012502
450,ansøg,4.493733173595699
689,bedte,4.4913197266159814
780,benig,4.4881916068314505
576,badut,4.485282902859689
237,afved,4.485141926522321
213,afsti,4.4811142781174995
271,agtet,4.477841173980824
964,blank,4.473674191160477
146,aflur,4.47273838101918
698,befat,4.471931567097994
249,agats,4.4715768789573795
157,afløs,4.471360515391384
769,bemal,4.471131028812298
823,besom,4.47042781244379
230,aftor,4.467973298965476
212,afson,4.467617555709597
363,ammer,4.466158602944367
804,berøg,4.464656614393779
776,bende,4.462880056691598
849,betog,4.4628307955880375
752,belev,4.462225365880624
293,alant,4.461862215172768
66,afbed,4.46004518769612
928,bisæt,4.457929483538378
154,aflæs,4.456882753599319
943,biårs,4.456309214487829
828,besum,4.453613544516978
310,algud,4.453018526173489
486,armod,4.4526194161051915
918,bisag,4.452093205218127
890,bilad,4.451640816029603
334,alpin,4.4469817853977
686,bedne,4.446421530610089
761,belån,4.445900383879464
872,bidsk,4.442152809311349
803,beråd,4.436276646918929
116,afilt,4.434952240406843
661,basts,4.434890199560473
391,angen,4.433391597349832
837,besøg,4.430497884054247
701,befor,4.429514533930456
979,blind,4.4280285965056665
45,abrod,4.426486843797147
754,beliv,4.424609786000155
410,anken,4.423777733169987
899,bille,4.423742282810041
917,birod,4.423332744332157
438,anråd,4.422793506276774
256,agild,4.422342561337901
880,bigat,4.417666416300254
932,bitte,4.413025775436965
430,annos,4.409686740498805
421,anlov,4.400025269126082
730,behus,4.3988364496831505
940,biåen,4.395907625013943
436,anryk,4.391195453528211
261,agnen,4.389600708812521
365,ammet,4.387576177009191
374,amtet,4.386185969753479
756,belov,4.385468407030257
481,arkiv,4.382869469085861
794,berme,4.382028357045911
456,antød,4.380691002117043
987,blond,4.380307654050658
245,afæde,4.376377090945235
855,betød,4.375889340598848
718,begår,4.374882897053744
620,banen,4.374070224126002
466,arena,4.370630344638121
402,angår,4.37026274959461
957,blafr,4.3699674081289315
585,bagro,4.368575518137197
238,afveg,4.366631779635652
965,blarp,4.362900418974889
272,agurk,4.362450692109761
149,aflys,4.361163457964774
189,afrul,4.3602718364881525
138,aflin,4.353714887559793
422,anluv,4.353597076818818
217,afsæt,4.350983486365405
995,blund,4.350715876606828
251,agede,4.350673088705383
800,beryg,4.35024866578968
651,basar,4.347768543362436
205,afsid,4.346023600336606
934,bitås,4.3418846236958615
980,blink,4.340725459977466
913,biord,4.336873794881126
184,afrid,4.335124519595752
564,avnen,4.332584610529216
395,angik,4.330558277376067
762,belæg,4.326608125613974
423,anlæg,4.326146919321563
68,afbie,4.32288890934094
696,befal,4.321371528677408
891,bilag,4.320675735714307
165,afnej,4.318412920740453
690,bedug,4.317269828534361
151,aflås,4.312440419317284
807,berøv,4.312103550335261
29,aases,4.310989236750431
725,beher,4.306946848580959
781,benov,4.305854851552043
559,aviso,4.3034600084341665
558,avind,4.300548961672805
702,befri,4.300200971682334
970,blege,4.299897890468673
49,adhus,4.299204047545281
805,berøm,4.297266134175203
959,blaft,4.296051223772947
86,afdøs,4.295882423227315
340,altan,4.293337608146022
553,avede,4.290975789335011
400,angry,4.29045196946987
569,azurs,4.289728791945097
370,amour,4.288722407878544
570,babel,4.287630037601264
712,begik,4.286590282369429
919,bisam,4.284199363432372
352,alånd,4.284090711847305
273,ahorn,4.282650227633162
812,beses,4.282452116558031
225,aftin,4.281877142068924
43,abild,4.2795459543183165
515,asald,4.276608807135263
242,afvis,4.2735025126738195
853,betæk,4.273162638276161
153,aflær,4.271677578016632
996,blunk,4.271364356443677
455,antyd,4.270663095448165
232,aftru,4.267998486974108
852,betyd,4.263836994260889
358,amede,4.262727379506664
632,barat,4.258220746860223
229,afton,4.2541677112546905
881,bigot,4.252912905239281
362,ammen,4.248176268119016
741,bekig,4.245767569251167
497,arrer,4.245734425445561
25,aarti,4.245102554994115
460,appel,4.243342136670895
629,banko,4.242993941933585
707,begav,4.242081686881742
236,aftør,4.2381104325888685
927,bistå,4.23672771010734
552,avecs,4.231601640757472
795,beror,4.2250403228660085
783,benåd,4.221146560206317
206,afsig,4.220148421275124
736,bejan,4.219057958630745
427,anmod,4.218379561698599
861,beære,4.2181246303389655
699,befil,4.215344246816262
136,aflid,4.213296870526392
38,abede,4.212255323891164
705,befør,4.211589252619687
874,biede,4.205068032027248
185,afrig,4.204831416155604
860,beånd,4.2042542300371935
929,bisød,4.201142691773391
596,bakke,4.199266942184677
586,bagsø,4.1963333624221795
288,aktiv,4.192907338101301
775,benaj,4.192844880184581
866,bidde,4.191367417990481
141,aflod,4.185035821172374
388,anfør,4.183390091220675
383,anduv,4.1828641791029355
785,bepak,4.181835231118469
657,basks,4.1809986864682935
464,araer,4.180491366974876
700,befol,4.177983760530722
36,abcte,4.174754440543504
994,blufr,4.173995131284005
426,anmas,4.173783923574546
832,besyv,4.171336337003097
22,aarer,4.170805058681701
361,aming,4.167492402089973
581,bagge,4.167225258344012
215,afsug,4.16270638117606
721,begød,4.16155220335585
693,bedæk,4.160125888969352
452,antal,4.15773259716417
864,bible,4.15278863559172
500,arrig,4.151181292962614
85,afdør,4.1511173965440245
50,adjøs,4.146496320771501
655,basis,4.144539433089886
396,angiv,4.144440905489822
949,bjæle,4.1441087311841285
675,bebos,4.1359792193297205
826,bespy,4.135906048854673
214,afstå,4.13564327134657
863,bibel,4.1302502755153485
33,aasæt,4.128023942067867
424,anløb,4.122477268769722
714,begiv,4.121911423916937
946,bjerg,4.121647420765219
35,abcen,4.115387007937452
303,alfas,4.113926904932455
5,aaeng,4.113497408788259
150,aflyt,4.113264716392361
142,aflok,4.103152149487824
34,abbed,4.100057992891084
862,biavl,4.0998399571616595
589,bagud,4.098716748400499
156,afløn,4.096535408485111
37,abcts,4.093560990598866
312,alhel,4.093465434578095
437,anråb,4.092998092070686
732,behør,4.092631618464596
659,basta,4.090924204291631
577,bagas,4.0895967738542796
211,afslå,4.088473900593425
414,ankom,4.0874946788118685
250,agave,4.084967886214323
854,betæm,4.084413670896846
407,anhør,4.084230787781414
71,afbor,4.075054740908559
520,asian,4.070244400543127
406,anhær,4.06813738347641
209,afsiv,4.064413187916467
760,belyv,4.062232813747419
246,afædt,4.061918804625781
125,afkys,4.06139805170515
145,afluk,4.056257544262371
743,bekom,4.051578977255454
188,afriv,4.047964484630378
62,afart,4.046981889609101
619,bandy,4.045904896807624
717,begyd,4.044689673553
119,afkil,4.043706147550408
294,alarm,4.042211502560873
887,bikke,4.039336802672036
186,afrim,4.038133019663325
199,afsat,4.0353501358012736
108,afgør,4.034857251522818
936,bivej,4.032489167781919
847,betit,4.027186595052293
144,aflug,4.025408814709026
167,afnyt,4.023122415185156
130,afkør,4.022299571851908
885,bihus,4.022226100308679
107,afgær,4.018812195852119
106,afgås,4.018386014360832
674,bebor,4.0165557857328125
417,anlag,4.009401121978283
806,berør,4.005410641049339
183,afrib,4.0053481367808645
695,bedøv,3.9971808050735547
51,adkom,3.995602594473876
439,anrør,3.993371032309307
846,betet,3.990681631118655
228,aftog,3.9895623037490626
831,besys,3.989123342513868
233,aftæl,3.986113151000083
195,afræk,3.9845874022732044
771,bemød,3.983875553611223
724,behak,3.9826558657147917
694,bedøm,3.981700741455391
16,aalid,3.9804425355782316
218,afsøg,3.979327949034635
196,afrøg,3.972239394345666
296,album,3.971941708294381
190,afryd,3.9718704564231713
739,bekaj,3.970904377658638
953,blabr,3.970482795418447
124,afkul,3.9695256480728056
59,advar,3.9688269350009944
704,beføl,3.965034349778618
588,bagtå,3.964588988510287
723,behag,3.960902010029736
538,asyls,3.956905056043048
902,bilyd,3.953139176736282
247,afæsk,3.952564710696857
834,besås,3.944653462288333
239,afvej,3.9444948201021357
451,antag,3.9408146714274497
302,alfar,3.932478587202852
161,afmej,3.92919654891811
568,azurn,3.928978503932133
549,augur,3.927708867538062
194,afråd,3.923590990003555
680,bebæs,3.923142952915849
903,bilæg,3.9229676656908725
140,afliv,3.921978209120981
91,affed,3.919768216421119
755,belle,3.915712046162396
137,aflim,3.9150275779251764
738,bejle,3.9141813994807193
591,bagæd,3.9137502907762634
46,achts,3.9130649958653008
631,barak,3.9124028525795733
32,aasyn,3.908887788348763
766,beløj,3.898955523652894
210,afsky,3.895466383017545
944,biøje,3.8942792208906183
614,banal,3.890974994463545
192,afryk,3.890521098057984
547,attik,3.887659636652245
951,bjært,3.887063585534717
727,behud,3.8859119143417535
876,bieri,3.88510410616555
731,behyt,3.8808639605745454
208,afsis,3.877720867779283
378,anbyd,3.8765107530656824
105,afgår,3.8730919459051867
859,bevæg,3.869482286882181
20,aanen,3.8680777192536953
168,afnød,3.8668532904664557
191,afryg,3.8575821468728186
408,aning,3.85693377178508
70,afbon,3.856325065617783
772,bemøg,3.8542283302536195
387,anfar,3.8516539951211404
148,aflyd,3.843853454306865
582,bagom,3.842571579249652
31,aasiv,3.839703467081713
104,afgud,3.8373991283125184
81,afdug,3.8360565639839788
416,ankøb,3.834794162758354
174,afpin,3.833971116681337
75,afbær,3.8271769337909265
152,aflæg,3.824514050916806
548,attrå,3.8242129993544753
878,bifad,3.8235907014063693
448,ansyn,3.817334182986359
784,benøj,3.81670102113427
991,blott,3.8141354010643203
102,afgik,3.813719529215139
597,bakop,3.809479564916238
173,afpil,3.80939327332182
583,bagop,3.8061100900317673
226,aftip,3.804625739674589
679,bebær,3.7990534063152777
405,anhug,3.7989310167641084
768,bemaj,3.7977666181754666
166,afnip,3.7897303150865507
197,afrøm,3.7857824973284275
129,afkøl,3.7850513794370944
924,bisps,3.7772933504238817
728,behug,3.772899291921786
323,alliv,3.7722342710359116
458,anæmi,3.767594596068245
735,bejae,3.7666982740754964
379,anbyg,3.7620068653593726
590,bagåd,3.7608460018907253
627,banjo,3.7606648443888333
198,afsad,3.757452410482243
121,afkog,3.7545322745783114
952,bjørn,3.7536230250128426
905,bimpl,3.7524672001295656
240,afvid,3.7514345441243617
537,astma,3.7483871224698553
216,afsæb,3.743994068495117
244,afynd,3.737623557044065
939,bizar,3.7349593387494435
67,afbid,3.7285475534207944
858,bevåg,3.7205105025692475
907,bimøl,3.7144849892638527
26,aaråd,3.6972267464439135
1,aabro,3.695960037683256
879,bifag,3.695126287784811
459,apati,3.6853106890212883
706,begab,3.6714416245961776
178,afrak,3.6699792575357977
82,afdæk,3.6698868231072725
158,afløv,3.6693267454117207
221,aftal,3.6661908548610826
726,behov,3.649727760224384
73,afbud,3.6447886527163433
128,afkød,3.6425409093028565
592,bajas,3.6418188635336386
347,altæa,3.6384195756194115
177,afrag,3.6354514830420617
57,adlød,3.6344849654055262
243,afvæn,3.634046443225629
884,bihul,3.6292075038785763
74,afbyt,3.625802682618077
78,afbøn,3.625742695710284
131,aflad,3.6252460887000675
103,afgiv,3.6239703376471333
241,afvig,3.6208081950873128
155,afløb,3.617105481061825
543,atsch,3.616982771537945
495,arrak,3.616796978948197
742,bekik,3.615431363107633
171,afpas,3.6142605464193625
120,afkim,3.612530861341588
938,bivån,3.609874094212103
765,beløb,3.5989996737267824
571,babys,3.5987979838262723
676,bebud,3.598073238994184
193,afråb,3.5899500358350083
115,afhør,3.587271363062527
933,bityv,3.5843426654056225
235,aftøm,3.577674004441379
802,beråb,3.57702268760337
79,afdal,3.576618791718137
122,afkom,3.576489314193204
490,aroma,3.570554282885682
665,bauta,3.565033891447005
389,angav,3.5627550979086418
265,agraf,3.5603425387790675
94,affir,3.557857511299847
123,afkop,3.545933818713404
234,aftæp,3.5338302545886413
176,afpæl,3.532894687212561
948,bjæld,3.5285749980118752
431,anpak,3.52134007700556
56,adlyd,3.52103807552927
65,afbar,3.512084199258528
950,bjærg,3.508987670482919
404,anhal,3.508665796605871
711,begge,3.500137212641294
96,affur,3.485761758829433
200,afsav,3.479076451611969
0,aabod,3.471929138411112
314,alibi,3.467663796476652
76,afbød,3.467642359403645
170,afpar,3.467416895330872
83,afdæm,3.4646045736508095
947,bjæfs,3.4619572404342573
220,aftak,3.45593125243771
163,afnak,3.4528579169396063
584,bagpå,3.4451361222722445
162,afmål,3.4417414096445396
733,behøv,3.4355667517988397
356,ambra,3.4341868875666446
428,annal,3.433774072849817
219,aftag,3.431445760697238
113,afhår,3.4290058298040393
266,agrar,3.420737786143209
773,bemøj,3.4206865460624116
160,afmat,3.4185369702396904
72,afbov,3.4064225580265965
109,afhas,3.400899708679334
17,aaløb,3.3960653673392573
513,arvæv,3.3952938639459975
69,afbom,3.387596826183478
110,afhud,3.3864850813673804
2,aabry,3.3847957841071414
97,affut,3.383284771766434
92,affej,3.3771209416836894
935,bitæt,3.3654699290845795
729,behuj,3.3521943456793752
126,afkæm,3.3347354355141485
93,affil,3.315263813953569
127,afkøb,3.3145666277827774
3,aadal,3.3023688962721947
544,attak,3.3004774642468973
100,affør,3.299484016283973
744,bekøb,3.28818895486459
111,afhug,3.282055035160992
703,beføj,3.2769344939740686
159,afmal,3.2717529596626163
112,afhyl,3.234189569587209
222,aftap,3.2164407686573564
886,bihøg,3.200098139775081
164,afnap,3.1985914194575695
98,affyr,3.1898593745169794
677,bebyg,3.181766795622005
663,batat,3.1775120155147705
63,afbad,3.1379533015131087
678,bebæe,3.124313179621954
865,bibog,3.123942948717889
89,affas,3.114669569953828
615,banan,3.1042867678498016
101,afgav,3.043220819972655
12,aalam,3.0409185870970776
429,annam,3.0235807733850293
64,afbag,3.0203653635213294
84,afdød,3.018274233422086
169,afpak,3.0076789924552743
118,afkap,2.9922906003076486
425,anman,2.987280971016916
88,affar,2.967213056646304
993,bluff,2.9635879088341905
99,affød,2.928186287088722
95,afflå,2.922732474155126
114,afhæv,2.9075551686051693
77,afbøj,2.907485777408952
90,affat,2.8661586556980985
357,amdam,2.7870560971901597
175,afpup,2.7630419609929424
432,anpap,2.7603678363138013
117,afjag,2.7567278332561815
87,affad,2.596851226889668
